Filename,Lag,Error
A_221117_105145,-0.562,0.112
A_221117_105128,-0.7185,0.218
B_221117_104053,-0.5785,0.1155
B_221117_104036,-0.948,0.1715
C_221117_104624,-0.1665,0.083
C_221117_104606,-0.538,0.1245
D_221117_103505,-0.888,0.1435
D_221117_103522,-0.515,0.115
E_221117_104206,-0.273,0.116
E_221117_104222,-0.814,0.065
F_221117_104524,-0.948,0.1275
F_221117_104539,-0.732,0.1175
G_221117_103352,-0.242,0.15
G_221117_103335,-0.574,0.0605
H_221117_103838,-0.312,0.175
H_221117_103819,-0.7605,0.1055
I_221117_103635,-0.2785,0.1345
I_221117_103552,-0.293,0.095
J_221117_104958,-0.2785,0.1305
J_221117_105014,-0.86,0.171
K_221117_104707,-0.1965,0.2285
K_221117_104650,-0.3565,0.288
L_221117_104008,-0.7855,0.1455
L_221117_103953,-0.2425,0.0845
M_221117_104822,-0.281,0.779
M_221117_104846,-0.3365,0.573
N_221117_104737,-0.6705,0.5285
N_221117_104754,-0.447,1.0265
O_221117_104430,-0.8545,0.076
O_221117_104501,-0.534,0.1485
P_221117_104251,-0.4765,0.706
P_221117_104307,-0.187,0.5015
Q_221117_103924,-0.1605,0.202
Q_221117_103907,-0.5655,0.2155
R_221117_104931,-0.4825,0.2375
R_221117_104915,-0.474,0.111
S_221117_103707,-0.61,0.133
S_221117_103724,-0.4495,0.154
T_221117_104403,-0.54,0.14
U_221117_105101,-0.1525,0.1715
U_221117_105044,-0.353,1.0315
V_221117_103439,-0.9445,0.051
V_221117_103422,-0.093,0.1355
W_221117_103249,-0.8705,0.1455
W_221117_103234,-0.4265,0.1165
X_221117_103117,-0.4675,0.224
X_221117_103100,-0.979,0.147
Y_221117_104121,-0.4165,0.4495
Y_221117_104138,-0.8845,0.148
Z_221117_103149,-0.1705,0.184
Z_221117_103205,-0.6165,0.1145
