Filename,Lag,Error
A_221017_142841,-0.71,0.116
A_221017_142956,-0.2285,0.1735
B_221017_143705,-0.5005,0.1445
B_221017_143629,-0.47,0.069
C_221017_143946,-0.2115,0.062
C_221017_143929,-0.4725,0.0835
D_221017_141943,-0.869,0.3725
D_221017_142021,-0.7145,0.099
E_221017_142112,-0.499,0.0525
E_221017_142055,-0.9405,0.077
F_221017_142716,-0.8295,0.0785
F_221017_142740,-0.2635,0.1125
G_221017_143517,-0.756,0.079
G_221017_143501,-0.6325,0.077
H_221017_141723,-0.7585,0.116
H_221017_141741,-0.805,0.067
I_221017_142438,-0.4185,0.065
I_221017_142324,-0.6735,0.0745
J_221017_143134,-0.3475,0.105
J_221017_143117,-0.7155,0.089
K_221017_143024,-0.343,0.83
K_221017_143048,-0.3105,0.3435
L_221017_144127,-0.7125,0.0605
L_221017_144144,-0.5415,0.0585
M_221017_141916,-0.1605,0.1665
M_221017_141831,-0.2535,0.2825
N_221017_144059,-0.414,0.164
N_221017_144043,-0.611,0.087
O_221017_142209,-0.3735,0.069
O_221017_142152,-0.5065,0.0755
P_221017_143737,-0.7415,0.0465
P_221017_143755,-0.7605,0.1105
Q_221017_142643,-0.969,0.1725
Q_221017_142626,-0.826,0.0665
R_221017_143434,-0.2465,0.1295
R_221017_143417,-0.791,0.089
S_221017_142238,-0.561,0.0755
S_221017_142255,-0.975,0.061
T_221017_143305,-0.915,0.1235
T_221017_143247,-0.6935,0.1225
U_221017_143349,-0.7045,0.229
U_221017_143332,-0.207,0.581
V_221017_143545,-0.635,0.0515
V_221017_143559,-0.917,0.1425
W_221017_143201,-0.312,0.1025
W_221017_143218,-0.3775,0.134
X_221017_144212,-0.293,0.1425
X_221017_144227,-0.789,0.309
Y_221017_143825,-0.2105,0.0505
Y_221017_143900,-0.186,0.109
Z_221017_142508,-0.5705,1.3775
Z_221017_142531,-0.659,0.042
