Python 3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: C:\Users\t117159uhn\OneDrive - UHN\Documents\Python Logs CPU 2\Keylogger Temp.py
 2022-11-24 15:53:32,892 - 't'
 2022-11-24 15:53:33,042 - 'e'
 2022-11-24 15:53:33,182 - 's'
 2022-11-24 15:53:33,342 - 't'
 2022-11-24 16:15:29,152 - 't'
 2022-11-24 16:15:29,351 - 'e'
 2022-11-24 16:15:29,501 - 's'
 2022-11-24 16:15:29,681 - 't'
 2022-11-24 16:15:30,101 - '2'
 2022-11-24 16:33:56,643 - 't'
 2022-11-24 16:33:56,782 - 'e'
 2022-11-24 16:33:56,893 - 's'
 2022-11-24 16:33:57,023 - 't'
 2022-11-24 16:33:57,332 - '3'
 2022-11-24 16:45:09,150 - 't'
 2022-11-24 16:45:09,340 - 'e'
 2022-11-24 16:45:09,689 - 's'
 2022-11-24 16:45:09,932 - 't'
 2022-11-24 16:45:10,463 - '4'
 2022-11-24 16:47:49,237 - Key.space
 2022-11-24 16:47:49,470 - Key.space
 2022-11-24 16:47:49,751 - Key.space
 2022-11-24 16:47:50,031 - Key.space
 2022-11-24 16:47:50,251 - Key.space
 2022-11-24 16:47:50,880 - 'k'
 2022-11-24 16:47:51,180 - 'k'
 2022-11-24 16:47:51,430 - 'k'
 2022-11-24 16:47:51,670 - 'k'
 2022-11-24 16:47:51,900 - 'k'
 2022-11-24 16:47:52,119 - 'k'
 2022-11-24 16:47:52,359 - 'k'
 2022-11-24 16:47:52,579 - 'k'
 2022-11-24 16:47:52,829 - 'k'
 2022-11-24 16:48:16,130 - 'i'
 2022-11-24 16:48:16,319 - 'i'
 2022-11-24 16:48:16,449 - 'i'
 2022-11-24 16:48:16,659 - 'i'
 2022-11-24 16:48:17,434 - 'i'
 2022-11-24 16:48:17,923 - 'i'
 2022-11-24 16:48:20,910 - Key.space
 2022-11-24 16:48:21,180 - Key.space
 2022-11-24 16:48:21,410 - Key.space
 2022-11-24 16:48:21,680 - Key.space
 2022-11-24 16:48:21,939 - Key.space
 2022-11-24 16:48:22,369 - 'i'
 2022-11-24 16:48:23,019 - 'i'
 2022-11-24 16:48:23,880 - 'i'
 2022-11-24 16:48:24,660 - 'i'
 2022-11-24 16:48:25,452 - 'i'
 2022-11-24 16:48:26,242 - 'i'
 2022-11-24 16:48:27,052 - 'i'
 2022-11-24 16:48:27,834 - 'i'
 2022-11-24 16:48:28,583 - 'i'
 2022-11-24 16:48:29,368 - 'i'
 2022-11-24 16:48:33,736 - Key.space
 2022-11-24 16:48:33,936 - Key.space
 2022-11-24 16:48:34,155 - Key.space
 2022-11-24 16:48:34,415 - Key.space
 2022-11-24 16:48:34,655 - Key.space
 2022-11-24 16:48:35,122 - 'i'
 2022-11-24 16:48:35,847 - 'i'
 2022-11-24 16:48:36,639 - 'i'
 2022-11-24 16:48:37,408 - 'i'
 2022-11-24 16:48:38,218 - 'i'
 2022-11-24 16:48:38,987 - 'i'
 2022-11-24 16:48:39,787 - 'i'
 2022-11-24 16:48:40,580 - 'i'
 2022-11-24 16:48:41,389 - 'i'
 2022-11-24 16:48:42,130 - 'i'
 2022-11-24 16:48:47,746 - Key.space
 2022-11-24 16:48:47,966 - Key.space
 2022-11-24 16:48:48,178 - Key.space
 2022-11-24 16:48:48,349 - Key.space
 2022-11-24 16:48:48,569 - Key.space
 2022-11-24 16:48:48,899 - 'i'
 2022-11-24 16:48:49,419 - 'i'
 2022-11-24 16:48:50,153 - 'i'
 2022-11-24 16:48:50,981 - 'i'
 2022-11-24 16:48:51,727 - 'i'
 2022-11-24 16:48:52,536 - 'i'
 2022-11-24 16:48:53,352 - 'i'
 2022-11-24 16:48:54,176 - 'i'
 2022-11-24 16:48:54,947 - 'i'
 2022-11-24 16:48:55,752 - 'i'
 2022-11-24 16:49:02,152 - 'r'
 2022-11-24 16:49:02,563 - 'r'
 2022-11-24 16:49:08,993 - Key.space
 2022-11-24 16:49:09,183 - Key.space
 2022-11-24 16:49:09,393 - Key.space
 2022-11-24 16:49:09,615 - Key.space
 2022-11-24 16:49:09,826 - Key.space
 2022-11-24 16:49:10,226 - 'r'
 2022-11-24 16:49:11,010 - 'r'
 2022-11-24 16:49:11,870 - 'r'
 2022-11-24 16:49:12,649 - 'r'
 2022-11-24 16:49:13,442 - 'r'
 2022-11-24 16:49:14,192 - 'r'
 2022-11-24 16:49:14,978 - 'r'
 2022-11-24 16:49:15,820 - 'r'
 2022-11-24 16:49:16,612 - 'r'
 2022-11-24 16:49:20,718 - Key.space
 2022-11-24 16:49:20,920 - Key.space
 2022-11-24 16:49:21,144 - Key.space
 2022-11-24 16:49:21,355 - Key.space
 2022-11-24 16:49:21,575 - Key.space
 2022-11-24 16:49:22,144 - 'r'
 2022-11-24 16:49:22,975 - 'r'
 2022-11-24 16:49:23,771 - 'r'
 2022-11-24 16:49:24,570 - 'r'
 2022-11-24 16:49:25,342 - 'r'
 2022-11-24 16:49:26,173 - 'r'
 2022-11-24 16:49:26,992 - 'r'
 2022-11-24 16:49:27,772 - 'r'
 2022-11-24 16:49:28,580 - 'r'
 2022-11-24 16:49:29,349 - 'r'
 2022-11-24 16:49:34,910 - 'w'
 2022-11-24 16:49:35,100 - 'w'
 2022-11-24 16:49:42,150 - Key.space
 2022-11-24 16:49:42,399 - Key.space
 2022-11-24 16:49:42,639 - Key.space
 2022-11-24 16:49:42,909 - Key.space
 2022-11-24 16:49:43,149 - Key.space
 2022-11-24 16:49:43,749 - 'w'
 2022-11-24 16:49:44,618 - 'w'
 2022-11-24 16:49:45,399 - 'w'
 2022-11-24 16:49:46,131 - 'w'
 2022-11-24 16:49:46,970 - 'w'
 2022-11-24 16:49:47,720 - 'w'
 2022-11-24 16:49:48,515 - 'w'
 2022-11-24 16:49:49,295 - 'w'
 2022-11-24 16:49:50,090 - 'w'
 2022-11-24 16:49:50,914 - 'w'
 2022-11-24 16:49:55,089 - Key.space
 2022-11-24 16:49:55,329 - Key.space
 2022-11-24 16:49:55,551 - Key.space
 2022-11-24 16:49:55,771 - Key.space
 2022-11-24 16:49:55,992 - Key.space
 2022-11-24 16:49:56,628 - 'w'
 2022-11-24 16:49:57,459 - 'w'
 2022-11-24 16:49:58,202 - 'w'
 2022-11-24 16:49:58,964 - 'w'
 2022-11-24 16:49:59,745 - 'w'
 2022-11-24 16:50:00,557 - 'w'
 2022-11-24 16:50:01,369 - 'w'
 2022-11-24 16:50:02,167 - 'w'
 2022-11-24 16:50:02,953 - 'w'
 2022-11-24 16:50:03,734 - 'w'
 2022-11-24 16:50:10,727 - 's'
 2022-11-24 16:50:10,917 - 's'
 2022-11-24 16:50:11,087 - 's'
 2022-11-24 16:50:12,411 - 's'
 2022-11-24 16:50:12,583 - 's'
 2022-11-24 16:50:18,233 - Key.space
 2022-11-24 16:50:18,453 - Key.space
 2022-11-24 16:50:18,663 - Key.space
 2022-11-24 16:50:18,863 - Key.space
 2022-11-24 16:50:19,073 - Key.space
 2022-11-24 16:50:19,753 - 's'
 2022-11-24 16:50:20,518 - 's'
 2022-11-24 16:50:21,319 - 's'
 2022-11-24 16:50:22,088 - 's'
 2022-11-24 16:50:22,898 - 's'
 2022-11-24 16:50:23,734 - 's'
 2022-11-24 16:50:24,540 - 's'
 2022-11-24 16:50:25,351 - 's'
 2022-11-24 16:50:26,153 - 's'
