Filename,Lag,Error
A_221201_132944,-0.4315,0.226
A_221201_132902,-0.3495,0.1955
B_221201_131938,-0.8485,0.1075
B_221201_131923,-0.5305,0.2315
C_221201_133351,-0.9505,0.097
C_221201_133328,-0.259,0.0955
D_221201_132442,-0.5385,0.0665
D_221201_132457,-0.565,0.2765
E_221201_132300,-0.1695,0.1225
E_221201_132243,-0.671,0.1695
F_221201_131503,-0.3155,0.063
F_221201_131518,-0.9725,0.0895
G_221201_133226,-0.983,0.066
G_221201_133204,-0.1765,0.126
H_221201_132741,-0.4405,0.128
H_221201_132726,-0.705,0.078
I_221201_131707,-0.941,0.1535
I_221201_131723,-0.28,0.1225
J_221201_132003,-0.926,0.116
J_221201_132018,-0.5865,0.081
K_221201_133305,-0.71,0.2815
K_221201_133249,-0.8695,0.166
L_221201_132419,-0.288,0.1705
L_221201_132404,-0.9135,0.2405
M_221201_132837,-0.8655,0.357
M_221201_132819,-0.805,0.125
N_221201_131819,-0.4705,0.074
N_221201_131803,-0.371,0.1235
O_221201_132619,-0.462,0.215
O_221201_132603,-0.3145,0.585
P_221201_131600,-0.652,0.0865
P_221201_131544,-0.8655,0.16
Q_221201_131439,-0.6135,0.174
Q_221201_131422,-0.333,0.132
R_221201_132643,-0.8585,0.1105
R_221201_132658,-0.65,0.1925
S_221201_131843,-0.816,0.162
S_221201_131859,-0.9015,0.2285
T_221201_133023,-0.7345,0.1925
T_221201_133042,-0.589,0.2305
U_221201_132042,-0.3855,0.0995
U_221201_132056,-0.737,0.168
V_221201_132537,-0.892,0.095
V_221201_132523,-0.891,0.0525
W_221201_132323,-0.5775,0.1885
W_221201_132338,-0.18,0.177
X_221201_132121,-0.7075,0.0985
X_221201_132135,-0.9215,0.1115
Y_221201_133121,-0.3655,0.123
Y_221201_133106,-0.352,0.1205
Z_221201_131624,-0.4825,0.126
Z_221201_131640,-0.9285,0.264
