Filename,Lag,Error
A_221104_102132,-0.6645,0.113
A_221104_102147,-0.163,0.1035
B_221104_102300,-0.495,0.093
B_221104_102313,-0.8965,0.1315
C_221104_103207,-0.6575,0.044
C_221104_103153,-0.243,0.0435
D_221104_103648,-0.3285,0.2005
D_221104_103701,-0.931,0.0755
E_221104_103430,-0.2515,0.581
E_221104_103418,-0.175,0.094
F_221104_102014,-0.4995,0.111
F_221104_102027,-0.6855,0.1255
G_221104_103506,-0.9025,0.085
G_221104_103453,-0.5325,0.119
H_221104_102551,-0.938,0.0635
H_221104_102538,-0.607,0.108
I_221104_102942,-0.899,0.105
I_221104_102955,-0.9205,0.1015
J_221104_101916,-0.889,0.081
J_221104_101932,-0.4,0.072
K_221104_103545,-0.0905,0.094
K_221104_103531,-0.353,0.3505
L_221104_102422,-0.324,0.0725
L_221104_102435,-0.1885,0.562
M_221104_102109,-0.323,0.0845
M_221104_102052,-0.5745,0.1215
N_221104_102514,-0.898,0.076
N_221104_102502,-0.1595,0.1035
O_221104_103128,-0.9325,0.046
O_221104_103115,-0.5375,0.0485
P_221104_103259,-0.467,0.0825
P_221104_103317,-0.404,0.062
Q_221104_102710,-0.4795,0.1385
Q_221104_102656,-0.9475,0.113
R_221104_102212,-0.2595,0.711
R_221104_102234,-0.5685,0.0975
S_221104_103354,-0.6015,0.086
S_221104_103340,-0.782,0.075
T_221104_102619,-0.1605,0.1165
T_221104_102632,-0.4995,0.0705
U_221104_103609,-0.5185,0.0905
U_221104_103623,-0.323,0.0845
V_221104_102911,-0.7045,0.0885
V_221104_102857,-0.8305,0.0765
W_221104_103018,-0.9595,0.093
W_221104_103032,-0.3705,0.796
X_221104_102831,-0.1845,0.099
X_221104_102817,-0.211,0.063
Y_221104_102342,-0.4895,0.072
Y_221104_102356,-0.7175,0.0765
Z_221104_102738,-0.252,0.08
Z_221104_102751,-0.5895,0.121
