Filename,Lag,Error
A_220901_134342,-0.438,0.159
A_220901_134407,-0.6835,0.1735
B_220901_140059,-0.811,0.098
B_220901_140040,-0.763,0.2475
C_220901_141137,-0.3465,0.153
C_220901_141051,-0.3865,0.111
D_220901_140555,-0.829,0.0625
D_220901_140614,-0.0005,0.1115
E_220901_140750,-0.722,0.1595
E_220901_140732,-0.0865,0.078
F_220901_134852,-0.6175,0.101
F_220901_134724,-0.2115,0.276
G_220901_141306,-0.26,0.094
G_220901_141341,-0.252,0.1185
H_220901_135800,-0.163,0.074
H_220901_135912,-0.925,0.0625
I_220901_140257,-0.696,0.103
I_220901_140220,-0.1435,0.073
J_220901_140435,-0.7025,0.038
J_220901_140416,-0.3965,0.0485
K_220901_141024,-0.2925,0.046
K_220901_141006,-0.937,0.0425
L_220901_140509,-0.891,0.111
L_220901_140528,-0.6995,0.1305
M_220901_140348,-0.5685,0.0665
M_220901_140329,-0.2445,0.099
N_220901_141218,-0.636,0.0875
N_220901_141236,-0.2345,0.4595
O_220901_135512,-0.747,0.0475
O_220901_135644,-0.765,0.047
P_220901_135247,-0.805,0.0775
P_220901_135118,-0.896,0.114
Q_220901_134940,-0.9555,0.201
Q_220901_134921,-0.916,0.1285
R_220901_140645,-0.4985,0.082
R_220901_140703,-0.099,0.368
S_220901_140149,-0.7475,0.0565
S_220901_140130,-0.07,0.06
T_220901_135443,-0.2715,0.095
T_220901_135424,-0.3935,0.072
U_220901_140938,-0.171,0.059
U_220901_140821,-0.82,0.071
V_220901_134656,-0.854,0.357
V_220901_134500,-0.133,0.1055
W_220901_135318,-0.618,0.084
W_220901_135337,-0.1685,0.154
X_220901_135009,-0.561,0.072
X_220901_135027,-0.95,0.0665
Y_220901_135732,-0.4605,0.0785
Y_220901_135712,-0.935,0.0515
Z_220901_140010,-0.3365,0.2795
Z_220901_135943,-0.3195,1.1975
