Filename,Lag,Error
A_220923_095717,-0.6665,0.041
A_220923_095733,-0.1215,0.0565
B_220923_094336,-0.456,0.051
B_220923_094319,-0.1545,0.0325
C_220923_094812,-0.886,0.0645
C_220923_094828,-0.564,0.078
D_220923_095634,-0.4075,0.043
D_220923_095650,-0.924,0.062
E_220923_093850,-0.3115,0.058
E_220923_093749,-0.5825,0.0585
F_220923_094610,-0.28,0.0345
F_220923_094624,-0.5175,0.11
G_220923_094418,-0.2555,0.389
G_220923_094402,-0.9145,0.116
H_220923_095426,-0.344,0.415
H_220923_095442,-0.28,0.0745
I_220923_094956,-0.933,0.103
I_220923_095012,-0.386,0.121
J_220923_094459,-0.73,0.073
J_220923_094443,-0.873,0.105
K_220923_095122,-0.947,0.0665
K_220923_095141,-0.226,0.364
L_220923_094746,-0.3085,0.072
L_220923_094729,-0.2585,0.364
M_220923_094252,-0.4085,0.0635
M_220923_094236,-0.588,0.072
N_220923_094034,-0.1765,0.0855
N_220923_094017,-0.458,0.069
O_220923_094705,-0.333,0.089
O_220923_094648,0.6185,0.5385
P_220923_094913,-0.709,0.0505
P_220923_094856,-0.549,0.057
Q_220923_094156,-0.8555,0.089
Q_220923_094211,-0.5645,0.1105
R_220923_095215,-0.5385,0.0685
R_220923_095231,-0.942,0.1005
S_220923_094129,-0.2995,0.407
S_220923_094115,-0.746,0.0635
T_220923_093951,-0.318,0.305
T_220923_093935,-0.392,0.0385
U_220923_095345,-0.5645,0.0395
U_220923_095401,-0.379,0.069
V_220923_095300,-0.224,0.059
V_220923_095315,-0.2945,0.115
W_220923_095524,-0.8445,0.0705
W_220923_095509,-0.7225,0.09
X_220923_094543,-0.991,0.111
X_220923_094527,-0.3865,0.077
Y_220923_095040,-0.5965,0.1635
Y_220923_095055,-0.881,0.2245
Z_220923_095551,-0.9375,0.051
Z_220923_095606,-0.266,0.689
