Filename,Lag,Error
A_220930_120309,-0.83,0.1195
A_220930_120326,-0.1745,0.2315
B_220930_120712,-0.245,0.0575
B_220930_120654,-0.081,0.048
C_220930_120143,-0.575,0.047
C_220930_120159,-0.3565,0.0415
D_220930_115334,-0.536,0.0315
D_220930_115349,-0.891,0.0225
E_220930_114842,-0.8225,0.0285
E_220930_114903,-0.775,0.042
F_220930_114810,-0.583,0.0265
F_220930_114727,-0.7455,0.034
G_220930_115432,-0.773,0.044
G_220930_115415,-0.889,0.049
H_220930_115849,-0.2005,0.0585
H_220930_115905,-0.965,0.064
I_220930_120621,-0.8925,0.0555
I_220930_120604,-0.193,0.0685
J_220930_115048,-0.3175,0.029
J_220930_115103,-0.7,0.0375
K_220930_120523,-0.399,0.086
K_220930_120538,-0.348,0.0705
L_220930_115605,-0.435,0.0395
L_220930_115549,-0.4105,0.049
M_220930_115225,-0.851,0.0435
M_220930_115210,-0.032,0.047
N_220930_115500,-0.308,0.056
N_220930_115516,-0.3395,0.038
O_220930_115809,-0.8485,0.0515
O_220930_115824,-0.3785,0.055
P_220930_120018,-0.9625,0.0845
P_220930_120035,-0.721,0.059
Q_220930_115950,-0.5295,0.074
Q_220930_115932,-0.179,0.073
R_220930_120225,-0.2355,0.472
R_220930_120244,-0.597,0.0725
S_220930_115658,-0.343,0.045
S_220930_115641,-0.343,0.056
T_220930_120353,-0.1985,0.0565
T_220930_120409,-0.3035,0.0595
U_220930_114947,-0.855,0.054
U_220930_115022,-0.356,0.044
V_220930_115726,-0.9905,0.0605
V_220930_115742,-0.9495,0.0605
W_220930_120117,-0.806,0.056
W_220930_120101,-0.8,0.0415
X_220930_115144,-0.415,0.0415
X_220930_115129,-0.2275,0.0345
Y_220930_115309,-0.477,0.0595
Y_220930_115253,-0.897,0.0975
Z_220930_120453,-0.715,0.0405
Z_220930_120437,-0.536,0.082
