Filename,Lag,Error
A_220901_104337,-0.994,0.6245
A_220901_104354,-0.426,0.1005
B_220901_105328,-0.52,0.0805
B_220901_105311,-0.4755,0.138
C_220901_104440,-0.51,0.085
C_220901_104422,-0.264,0.1945
D_220901_105131,-0.4075,0.081
D_220901_105114,-0.159,0.041
E_220901_105536,-0.157,0.096
E_220901_105553,-0.551,0.1015
F_220901_103331,-0.5055,0.061
F_220901_103348,-0.633,0.129
G_220901_104253,-0.342,0.1245
G_220901_104310,-0.8525,0.105
H_220901_104509,-0.1145,0.09
H_220901_104526,-0.4055,0.1005
I_220901_105159,-0.479,0.074
I_220901_105217,-0.151,0.1485
J_220901_103905,-0.3415,0.0565
J_220901_103922,-0.505,0.0505
K_220901_104958,-0.427,0.065
K_220901_104857,-0.707,0.0405
L_220901_105029,-0.3135,0.4475
L_220901_105046,-0.975,0.059
M_220901_103302,-0.2315,0.0975
M_220901_103243,-0.8535,0.121
N_220901_103419,-0.764,0.103
N_220901_103453,-0.4055,0.069
O_220901_105507,-0.7715,0.1575
O_220901_105450,-0.569,0.1325
P_220901_104039,-0.548,0.186
P_220901_104022,-0.645,0.1055
Q_220901_104614,-0.3585,0.1335
Q_220901_104555,-0.4985,0.193
R_220901_103637,-0.684,0.1225
R_220901_103833,-0.847,0.125
S_220901_104704,-0.2085,0.052
S_220901_104722,-0.6265,0.0515
T_220901_104222,-0.5365,0.0735
T_220901_104205,-0.915,0.5445
U_220901_105359,-0.7055,0.0945
U_220901_105418,-0.51,0.041
V_220901_104132,-0.9195,0.1215
V_220901_104115,-0.53,0.1175
W_220901_103154,-0.7095,0.155
W_220901_103212,-0.4425,0.1375
X_220901_103123,-0.65,0.161
X_220901_103102,-0.5275,0.1895
Y_220901_105729,-0.1535,0.1015
Y_220901_105644,-0.5725,0.1035
Z_220901_105812,-0.4835,0.1445
Z_220901_105829,-0.4105,0.0775
