Filename,Lag,Error
A_220831_142201,-0.4425,0.134
A_220831_142238,-0.3575,0.162
B_220831_140332,-0.448,0.207
B_220831_140312,-0.7165,0.3945
C_220831_142646,-0.907,0.322
C_220831_142555,-0.709,0.138
D_220831_142012,-0.9375,0.117
D_220831_142031,-0.6925,0.1455
E_220831_142912,-0.9805,0.113
E_220831_142852,-0.283,0.329
F_220831_142736,-0.2205,0.1065
F_220831_142718,-0.276,0.0805
G_220831_142822,-0.948,0.0545
G_220831_142805,-0.2425,0.104
H_220831_141943,-0.7365,0.2135
H_220831_141905,-0.375,0.316
I_220831_140712,-0.2125,0.308
I_220831_140653,-0.261,0.1385
J_220831_140621,-0.231,0.348
J_220831_140523,-0.719,0.1105
K_220831_141334,-0.4615,0.19
K_220831_141353,-0.291,0.1485
L_220831_135800,-0.408,0.104
L_220831_135823,-0.691,0.111
M_220831_141023,-0.6985,0.073
M_220831_141004,-0.344,0.358
N_220831_142420,-0.3805,0.1495
N_220831_142401,-0.316,0.0775
O_220831_140934,-0.4015,0.1805
O_220831_140915,-0.9215,0.09
P_220831_141458,-0.6045,0.3045
P_220831_141519,-0.824,0.257
Q_220831_141220,-0.8735,0.1445
Q_220831_141201,-0.8295,0.144
R_220831_142311,-0.9295,0.061
R_220831_142330,-0.711,0.086
S_220831_141653,-0.2115,0.116
S_220831_141633,-0.8945,0.169
T_220831_135911,-0.6675,0.1635
T_220831_140210,-0.2955,0.1415
U_220831_142512,-0.458,0.341
U_220831_142453,-0.3295,0.101
V_220831_140450,-0.48,0.125
V_220831_140428,-0.5505,0.1625
W_220831_141808,-0.9095,0.3315
W_220831_141836,-0.4355,0.1175
X_220831_141300,-0.9135,0.1585
X_220831_141118,-0.8355,0.114
Y_220831_140746,0.2035,0.333
Y_220831_140805,-0.2995,0.168
Z_220831_142127,-0.523,0.307
Z_220831_142106,-0.7855,0.121
