Filename,Lag,Error
A_221117_163926,-0.692,0.1215
A_221117_163941,-0.5785,0.3075
B_221117_162847,-0.4125,0.1115
B_221117_162831,-0.2605,0.532
C_221117_162639,-0.37,0.109
C_221117_162623,-0.6875,0.166
D_221117_163207,-0.1475,0.1015
D_221117_163223,-0.4785,0.1075
E_221117_162357,-0.6615,0.1075
E_221117_162341,-0.2125,0.518
F_221117_163512,-0.227,0.0725
F_221117_163456,-0.588,0.1945
G_221117_163058,-0.903,0.1055
G_221117_163043,-0.241,0.163
H_221117_163552,-0.076,0.114
H_221117_163536,-0.3835,0.063
I_221117_163815,-0.5275,0.1135
I_221117_163758,-0.883,0.068
J_221117_162745,-0.9365,0.2405
J_221117_162800,-0.3825,0.351
K_221117_162914,-0.8865,0.1355
K_221117_162931,-0.39,0.12
L_221117_162543,-0.5905,0.171
L_221117_162558,-0.475,0.0765
M_221117_163350,-0.912,0.521
M_221117_163334,-0.4165,0.744
N_221117_162315,-0.7155,0.1985
N_221117_162259,-0.5205,0.1815
O_221117_164023,-0.633,0.202
O_221117_164008,-0.212,0.297
P_221117_163017,-0.5035,0.1875
P_221117_163001,-0.6315,0.23
Q_221117_164109,-0.104,0.0865
Q_221117_164052,-0.9,0.144
R_221117_163251,-0.487,0.1405
R_221117_163306,-0.3135,0.5485
S_221117_163417,-0.9005,0.1155
S_221117_163432,-0.706,0.0865
T_221117_163125,-0.727,0.163
T_221117_163141,-0.6615,0.1005
U_221117_163859,-0.3455,0.118
U_221117_163842,0.216,0.6995
V_221117_162518,-0.4355,0.157
V_221117_162503,-0.5875,0.173
W_221117_162422,-0.824,0.0825
W_221117_162437,-0.281,0.647
X_221117_163700,-0.869,0.115
X_221117_163728,-0.641,0.122
Y_221117_163635,-0.7665,0.207
Y_221117_163619,-0.883,0.417
Z_221117_162720,-0.97,0.417
Z_221117_162705,-0.879,0.349
