Filename,Lag,Error
A_221129_171629,-0.909,0.123
A_221129_171644,-0.285,0.1455
B_221129_171606,-0.446,0.287
C_221129_170051,-0.4515,0.093
C_221129_170105,-0.4585,0.0755
D_221129_170811,-0.762,0.0945
D_221129_170826,-0.4355,0.155
E_221129_170142,-0.5305,0.1545
E_221129_170127,-0.9475,0.142
F_221129_171159,-0.552,0.0815
F_221129_171213,-0.203,0.1715
G_221129_171009,-0.796,0.089
G_221129_171022,-0.686,0.1605
H_221129_170235,-0.266,0.232
H_221129_170221,-0.7455,0.1095
I_221129_170849,-0.673,0.0925
I_221129_170904,-0.4375,0.1125
J_221129_170508,-0.804,0.17
J_221129_170454,-0.2825,0.339
K_221129_171437,-0.982,0.102
K_221129_171451,-0.6775,0.058
L_221129_171058,-0.685,0.0675
L_221129_171044,-0.326,0.281
M_221129_171359,-0.4295,0.0865
M_221129_171412,-0.4955,0.0675
N_221129_170944,-0.4755,0.1755
N_221129_170929,-0.2715,0.5105
O_221129_170315,-0.5715,0.198
O_221129_170301,-0.9115,0.194
P_221129_170418,-0.766,0.166
P_221129_170432,-0.4435,0.185
Q_221129_170338,0.76,0.861
Q_221129_170353,-0.3625,0.2475
R_221129_170631,-0.712,0.2255
R_221129_170617,-0.412,0.171
S_221129_170709,-0.585,0.125
S_221129_170655,-0.8285,0.1115
T_221129_170533,-0.221,0.5015
T_221129_170548,-0.634,0.2
U_221129_171515,-0.473,0.2025
U_221129_171529,-0.3345,0.0795
V_221129_170011,-0.525,0.107
V_221129_170026,-0.9175,0.133
W_221129_171136,-0.7705,0.151
W_221129_171123,-0.2005,0.1195
X_221129_171240,-0.38,0.1105
X_221129_171254,-0.164,0.1265
Y_221129_171320,-0.2845,0.4945
Y_221129_171335,-0.2585,0.092
Z_221129_170748,-0.327,0.1475
Z_221129_170733,-0.353,0.6115
