Filename,Lag,Error
A_221103_112119,-0.6795,0.2415
A_221103_112135,-0.8705,0.0755
B_221103_111859,-0.392,0.114
B_221103_111915,-0.385,0.772
C_221103_112223,-0.8895,0.117
C_221103_112206,0.4855,0.5365
D_221103_110645,-0.6595,0.3855
D_221103_110701,-0.959,0.5605
E_221103_110414,-0.6645,0.8395
E_221103_110357,-0.207,0.955
F_221103_110442,-0.8265,0.133
F_221103_110459,-0.192,0.0855
G_221103_111214,-0.3325,0.2115
G_221103_111259,-0.924,0.1205
H_221103_110229,-0.755,0.066
H_221103_110211,-0.849,0.043
I_221103_111010,-0.503,0.2565
I_221103_110953,-0.6145,0.12
J_221103_112028,-1.0,0.9555
J_221103_112045,-0.5485,0.0695
K_221103_111657,-0.4685,0.03
K_221103_111640,-0.875,0.1845
L_221103_112337,-0.3915,0.083
L_221103_112352,-0.909,0.136
M_221103_111813,-0.2455,0.3615
M_221103_111829,-0.6885,0.097
N_221103_111944,-0.734,0.416
N_221103_112002,-0.603,0.0815
O_221103_111326,-0.9485,0.3025
O_221103_111342,-0.95,0.1325
P_221103_112252,-0.2265,0.6995
P_221103_112309,-0.5675,0.5695
Q_221103_110835,-0.7025,0.899
Q_221103_110818,-0.853,0.2235
R_221103_111058,-0.6105,0.1915
R_221103_111040,-0.3515,0.409
S_221103_111127,-0.8925,0.2285
S_221103_111144,-0.053,0.6185
T_221103_111413,-0.9265,0.1565
T_221103_111430,-0.3715,0.089
U_221103_110610,-0.61,0.0775
U_221103_110550,-0.8815,0.1395
V_221103_110321,-0.576,0.113
V_221103_110304,-0.469,0.219
W_221103_111502,-0.8485,0.2425
W_221103_111519,-0.186,0.259
X_221103_111555,-0.7615,0.8375
X_221103_111612,-0.2295,0.218
Y_221103_110920,-0.7625,0.166
Y_221103_110904,-0.4905,0.27
Z_221103_111726,-0.2185,0.1485
Z_221103_111742,-0.708,0.2065
