Filename,Lag,Error
A_220919_104927,-0.5715,0.2085
A_220919_104909,0.0985,0.2435
B_220919_105453,-0.3995,0.3705
B_220919_105510,-0.4825,0.4995
C_220919_104232,-0.325,0.146
C_220919_104249,-0.864,0.1145
D_220919_105218,-0.595,0.16
D_220919_105236,-0.6425,0.512
E_220919_105425,-0.456,0.164
E_220919_105354,-0.8435,0.282
F_220919_104335,-0.8235,0.156
F_220919_104318,-1.0,0.137
G_220919_110030,-0.758,0.387
G_220919_105917,-0.916,1.116
H_220919_105846,-0.1805,0.1185
H_220919_105827,-0.7465,0.105
I_220919_105015,-0.3165,0.1305
I_220919_104957,-0.7035,0.095
J_220919_105102,-0.39,0.7905
J_220919_105044,-0.397,0.0755
K_220919_105630,-0.802,0.1575
K_220919_105710,-0.485,0.054
L_220919_105133,-0.3335,0.116
L_220919_105150,-0.544,0.0795
M_220919_110236,-0.846,0.149
M_220919_110254,-0.1355,0.068
N_220919_110323,-0.84,0.097
N_220919_110340,-0.6285,0.41
O_220919_104201,-0.676,0.119
O_220919_104142,-0.371,0.045
P_220919_104508,-0.4435,0.1795
P_220919_104449,-0.6145,0.1365
Q_220919_105741,-0.765,0.15
Q_220919_105759,-0.2865,0.187
R_220919_110117,-0.8755,0.553
R_220919_110100,-0.311,0.1255
S_220919_110149,-0.624,0.1145
S_220919_110206,-0.7095,0.1325
T_220919_104538,-0.387,0.1435
T_220919_104619,-0.4015,0.224
U_220919_104753,-0.6445,0.0795
U_220919_104735,-0.8795,0.1035
V_220919_110406,-0.8755,0.3005
V_220919_110423,-0.203,0.4815
W_220919_104649,-0.799,0.1285
W_220919_104707,-0.35,0.1585
X_220919_104820,-0.865,0.2275
X_220919_104838,-0.1815,0.238
Y_220919_105323,-0.2455,0.071
Y_220919_105306,-0.6165,0.1455
Z_220919_105540,-0.439,0.11
Z_220919_105559,0.5005,0.3465
