Filename,Lag,Error
A_220830_143525,-0.25,0.198
A_220830_143544,-0.264,0.32
B_220830_143235,-0.7425,0.1445
B_220830_143256,-0.894,0.028
C_220830_144547,-0.6985,0.0995
C_220830_144501,-0.319,0.2485
D_220830_143808,-0.728,0.1365
D_220830_143831,-0.397,0.183
E_220830_144012,-0.5875,0.1625
E_220830_143952,-0.72,0.1785
F_220830_145049,-1.0,0.907
F_220830_145031,-0.348,0.1465
G_220830_143616,-0.656,0.1155
G_220830_143635,-0.921,0.144
H_220830_142722,-0.867,0.1425
H_220830_142741,-0.6335,0.177
I_220830_142907,-0.325,0.1115
I_220830_142951,-0.8985,0.2355
J_220830_143901,-0.6625,0.078
J_220830_143921,-0.588,0.1025
K_220830_143139,-0.4655,0.097
K_220830_143157,-0.4015,0.0955
L_220830_144253,-0.417,0.163
L_220830_144231,-0.8575,0.075
M_220830_143331,-0.2875,0.0865
M_220830_143350,-0.929,0.116
N_220830_144427,-0.3745,0.151
N_220830_144341,-0.195,0.3185
O_220830_142238,-0.08,0.1105
O_220830_142259,-0.329,0.1385
P_220830_142609,-0.262,0.3575
P_220830_142650,-0.206,0.1365
Q_220830_142448,-0.821,0.1395
Q_220830_142509,-0.172,0.162
R_220830_144137,-0.244,0.4125
R_220830_144158,-0.8835,0.084
S_220830_142835,-0.907,0.1105
S_220830_142816,-0.321,0.1085
T_220830_144722,-0.194,0.197
T_220830_144814,-0.5085,0.1335
U_220830_145001,-0.7735,0.0765
U_220830_144941,-0.5865,0.1305
V_220830_143454,-0.5165,0.0865
V_220830_143434,-0.7385,0.0815
W_220830_143056,-0.9255,0.1275
W_220830_143036,-0.416,0.2475
X_220830_143713,-0.3535,0.19
X_220830_143735,-0.4725,0.1835
Y_220830_144907,-0.29,0.352
Y_220830_144848,-0.8775,0.148
Z_220830_142138,-0.532,0.179
Z_220830_142200,-0.585,0.165
