Filename,Lag,Error
A_221024_154538,-0.78,0.1025
A_221024_154555,-0.7885,0.1105
B_221024_152520,-0.377,0.0995
B_221024_152148,-0.8785,0.07
C_221024_152821,-0.0425,0.1295
C_221024_152804,-0.3635,0.0905
D_221024_151922,-0.6585,0.036
D_221024_151904,-0.202,0.094
E_221024_152948,-0.4305,0.0415
E_221024_153005,-0.2285,0.096
F_221024_152718,-0.93,0.1245
F_221024_152735,-0.615,0.1025
G_221024_153304,-0.439,0.076
G_221024_153321,-0.374,0.067
H_221024_154045,-0.8445,0.107
H_221024_154120,-0.888,0.0445
I_221024_153140,-0.7645,0.0705
I_221024_153105,-0.12,0.038
J_221024_153523,-0.635,0.0995
J_221024_153502,-0.4625,1.442
K_221024_152634,-0.4835,0.055
K_221024_152651,-0.6465,0.058
L_221024_152117,-0.373,0.0855
L_221024_151952,-0.9705,0.037
M_221024_153406,-0.227,0.059
M_221024_153349,-0.8455,0.259
N_221024_153613,-0.833,0.0575
N_221024_153650,-0.3475,0.071
O_221024_154434,-0.518,0.0675
O_221024_154452,-0.7085,0.055
P_221024_154018,-0.1735,0.048
P_221024_154001,-0.6655,0.0775
Q_221024_154314,-0.3335,0.0275
Q_221024_154257,-0.128,0.08
R_221024_153808,-0.3055,0.378
R_221024_153827,-0.236,0.129
S_221024_154711,-0.247,0.064
S_221024_154802,-0.892,0.0635
T_221024_154623,-0.369,0.7035
T_221024_154641,-0.8575,0.0745
U_221024_152548,-0.2905,0.29
U_221024_152605,-0.8615,0.153
V_221024_154228,-0.935,0.1265
V_221024_154212,-0.5705,0.1125
W_221024_152848,-0.497,0.1025
W_221024_152904,-0.6695,0.1065
X_221024_153719,-0.8785,0.1365
X_221024_153738,-0.3125,0.1775
Y_221024_154400,-0.218,0.1585
Y_221024_154341,-0.832,0.125
Z_221024_153211,-0.2725,0.519
Z_221024_153235,-0.0005,0.3565
