Filename,Lag,Error
A_221018_144443,-0.2585,0.2295
A_221018_144424,-0.1455,0.182
B_221018_145116,-0.9195,0.451
B_221018_145134,-0.333,0.069
C_221018_144937,-0.806,0.164
C_221018_144901,-0.303,0.1035
D_221018_142716,-0.678,0.0705
D_221018_142657,-0.2615,0.1635
E_221018_142859,-0.3625,0.077
E_221018_142916,-0.9255,0.111
F_221018_142519,-0.67,0.069
F_221018_142536,-0.7705,0.121
G_221018_143747,-0.312,0.3195
G_221018_143805,-0.2945,0.225
H_221018_143053,-0.445,0.07
H_221018_143230,-0.648,0.055
I_221018_143513,-0.687,0.071
I_221018_143455,-0.931,0.1165
J_221018_144033,-0.433,0.461
J_221018_144125,-0.9765,0.0955
K_221018_145018,-0.597,0.1225
K_221018_145036,-0.1465,0.166
L_221018_145247,-0.6805,0.031
L_221018_145205,-0.6405,0.061
M_221018_144516,-0.2255,0.3825
M_221018_144534,-0.6735,0.036
N_221018_143425,-0.926,0.2115
N_221018_143408,-0.74,0.028
O_221018_144344,-0.256,0.453
O_221018_144322,-1.0,0.7545
P_221018_143622,-0.92,0.0545
P_221018_143546,-0.3115,0.0775
Q_221018_142237,-0.4565,0.2335
Q_221018_142256,-0.8705,0.2635
R_221018_142004,-0.1655,0.1495
R_221018_142143,-0.842,0.104
S_221018_142811,-0.1715,0.105
S_221018_142828,-0.7355,0.162
T_221018_144222,-0.221,0.244
T_221018_144204,-0.356,0.113
U_221018_142345,-0.6975,0.1035
U_221018_142442,-0.5605,0.1335
V_221018_143716,-0.3935,0.053
V_221018_143657,-0.9555,0.071
W_221018_144608,-0.4825,0.161
W_221018_144626,-0.868,0.145
X_221018_143926,-0.48,0.245
X_221018_143943,-0.9365,0.22
Y_221018_143316,-0.432,0.104
Y_221018_143333,-0.5705,0.0795
Z_221018_142606,-0.4475,0.1455
Z_221018_142623,-0.63,0.5005
