Filename,Lag,Error
A_221103_150323,-0.234,0.076
A_221103_150107,-0.1735,0.0925
B_221103_151022,-0.5415,0.0605
B_221103_151005,-0.8955,0.1405
C_221103_151234,-0.3185,0.062
C_221103_151219,-0.2545,0.0835
D_221103_145710,-0.2675,0.047
D_221103_145625,-0.218,0.0835
E_221103_145847,-0.227,0.0575
E_221103_145831,-0.709,0.071
F_221103_150413,-0.791,0.0975
F_221103_150357,-0.272,0.168
G_221103_151403,-0.5185,0.145
G_221103_151347,-0.4305,0.0965
H_221103_151053,-0.138,0.073
H_221103_151108,-0.869,0.1015
I_221103_151148,-0.8325,0.11
I_221103_151133,-0.4365,0.5805
J_221103_151432,-0.681,0.09
J_221103_151450,-0.6045,0.1225
K_221103_150936,-0.4505,0.129
K_221103_150920,-0.2565,0.5925
L_221103_145401,-0.8735,0.087
L_221103_145457,-0.174,0.096
M_221103_151538,-0.9105,0.093
M_221103_151522,-0.3325,0.064
N_221103_150749,-0.8615,0.0425
N_221103_150805,-0.0415,0.083
O_221103_145300,-0.9545,0.1105
O_221103_145328,-0.8915,0.087
P_221103_145542,0.012,0.0915
P_221103_145524,-0.901,0.0475
Q_221103_150512,-0.58,0.194
Q_221103_150455,-0.1725,0.513
R_221103_151625,-0.8625,0.1125
R_221103_151610,-0.902,0.132
S_221103_150832,-0.8625,0.121
S_221103_150850,-0.1265,0.088
T_221103_145800,-0.906,0.33
T_221103_145742,-0.5145,0.417
U_221103_150716,-0.454,0.063
U_221103_150657,-1.0,0.271
V_221103_150019,-0.112,0.121
V_221103_150036,-0.9155,0.1355
W_221103_145930,-0.6155,0.11
W_221103_145913,-0.195,0.1065
X_221103_144932,-0.7475,0.0795
X_221103_145227,-0.5475,0.065
Y_221103_150630,-0.067,0.077
Y_221103_150613,-0.7705,0.0645
Z_221103_151320,-0.6215,0.264
Z_221103_151303,-0.632,0.171
