Filename,Lag,Error
A_221124_170304,-0.341,0.7705
A_221124_170318,0.446,0.6095
B_221124_165801,-0.6875,0.197
B_221124_165748,-0.2725,0.218
C_221124_165446,0.5375,1.1345
C_221124_165500,-0.5125,1.283
D_221124_170013,-0.3435,1.313
D_221124_170027,0.5905,1.242
E_221124_165411,-0.1525,1.061
E_221124_165425,-0.2755,0.6335
F_221124_165142,-0.512,0.136
F_221124_165129,-0.373,0.5
G_221124_165242,-0.6545,0.2135
G_221124_165255,-0.6785,0.3595
H_221124_165836,-0.3425,0.3225
H_221124_165824,-0.3285,0.126
I_221124_164818,-0.2855,0.4315
I_221124_164832,-0.416,0.084
J_221124_165219,-0.0345,0.096
J_221124_165205,-0.491,0.123
K_221124_170051,-0.473,0.0955
K_221124_170105,-0.6375,0.114
L_221124_170203,-0.9425,0.182
L_221124_170151,-0.349,0.086
M_221124_165333,-0.4695,0.116
M_221124_165320,-0.411,0.157
N_221124_165537,-0.6935,0.091
N_221124_165524,-0.6,0.082
O_221124_165601,-0.4515,0.083
O_221124_165613,-0.832,0.099
P_221124_165711,-0.907,0.126
P_221124_165724,-0.7745,0.091
Q_221124_165938,-0.35,0.239
Q_221124_165950,-0.213,0.931
R_221124_164907,-0.792,0.1775
R_221124_164919,-0.631,0.101
S_221124_165017,-0.28,0.1575
S_221124_165029,-0.6575,0.5765
T_221124_170357,-0.1985,0.5865
T_221124_170411,-0.7385,0.3805
U_221124_170229,-0.286,0.071
U_221124_170243,-0.6595,0.1325
V_221124_165052,-0.56,0.3395
V_221124_165106,-0.414,0.209
W_221124_164953,-0.547,0.1455
W_221124_164941,-0.528,0.33
X_221124_165859,-0.1545,1.15
X_221124_165912,-0.242,0.6775
Y_221124_165648,-0.7375,0.1585
Y_221124_165635,-0.7495,0.079
Z_221124_170450,-0.7035,0.1515
Z_221124_170437,-0.0265,0.3875
