Filename,Lag,Error
A_220922_105441,-0.28,0.3815
A_220922_105455,-0.461,0.059
B_220922_105845,-0.38,0.027
B_220922_105831,-0.932,0.041
C_220922_105327,-0.15,0.061
C_220922_105341,-0.7045,0.0725
D_220922_104847,-0.8815,0.081
D_220922_104903,-0.1285,0.0515
E_220922_104726,-0.315,0.4685
E_220922_104744,-0.6215,0.072
F_220922_105139,-0.38,0.0555
F_220922_105124,-0.3035,0.0535
G_220922_105945,-0.3705,0.082
G_220922_105958,-0.9665,0.162
H_220922_104645,-0.6545,0.05
H_220922_104702,-0.2165,0.044
I_220922_104600,-0.313,0.069
I_220922_104620,-0.6875,0.0455
J_220922_105728,-0.486,0.0485
J_220922_105714,-0.597,0.0585
K_220922_105922,-0.316,0.087
K_220922_105908,-0.431,0.1165
L_220922_105405,-0.077,0.0635
L_220922_105418,-0.885,0.0195
M_220922_110136,-0.364,0.454
M_220922_110150,-0.9185,0.0515
N_220922_105022,-0.7885,0.132
N_220922_105008,-0.7555,0.067
O_220922_105557,-0.5285,0.044
O_220922_105610,-0.641,0.051
P_220922_105239,-0.3185,0.0655
P_220922_105253,-0.6735,0.0805
Q_220922_105806,-0.8415,0.056
Q_220922_105752,-0.704,0.0645
R_220922_110214,-0.8165,0.0485
R_220922_110228,-0.8385,0.0485
S_220922_110101,-0.186,0.0335
S_220922_110114,-0.8605,0.052
T_220922_105635,-0.7345,0.0635
T_220922_105649,-0.5935,0.072
U_220922_104926,-0.5245,0.0625
U_220922_104941,-0.904,0.3095
V_220922_104825,-0.5715,0.0425
V_220922_104810,-0.2445,0.059
W_220922_105202,-0.402,0.1235
W_220922_105215,-0.777,0.0375
X_220922_110023,-0.5855,0.039
X_220922_110037,-0.7815,0.064
Y_220922_105046,-0.8335,0.095
Y_220922_105100,-0.738,0.096
Z_220922_105519,-0.3085,0.0625
Z_220922_105533,-0.3095,0.0695
