Filename,Lag,Error
A_221103_175416,-0.841,0.387
A_221103_175403,-0.8915,0.195
B_221103_180530,-0.6615,0.283
B_221103_180545,-1.0,0.5125
C_221103_180703,-0.411,0.2745
C_221103_180649,-0.566,0.2495
D_221103_181245,-0.026,0.1375
D_221103_181316,0.006,0.1105
E_221103_174411,-0.677,0.1345
E_221103_174356,-0.1715,0.121
F_221103_175324,-0.2595,0.4825
F_221103_175340,-0.249,0.1425
G_221103_175246,-0.283,0.639
G_221103_175301,-0.6075,0.149
H_221103_180815,-0.9285,0.5175
H_221103_180803,-0.055,0.148
I_221103_174718,-0.603,0.1085
I_221103_174949,-0.6355,0.0745
J_221103_174613,-0.2435,1.008
J_221103_174559,-0.664,0.153
K_221103_175202,-0.9645,0.377
K_221103_175218,-0.465,0.1025
L_221103_180428,-0.624,0.103
L_221103_180415,-0.0995,0.064
M_221103_175049,-0.1895,0.153
M_221103_175103,-0.188,0.127
N_221103_174654,-0.3315,0.111
N_221103_174637,-0.6445,0.1355
O_221103_175827,-0.918,0.1305
O_221103_175842,-0.135,0.117
P_221103_175012,-0.3225,0.1205
P_221103_175025,-0.349,0.098
Q_221103_175141,-0.2665,0.2295
Q_221103_175126,-0.717,0.1025
R_221103_175456,-0.2615,0.1215
R_221103_175443,-0.5215,0.137
S_221103_174452,-0.433,0.108
S_221103_174436,-0.39,0.146
T_221103_180507,-0.8625,0.143
T_221103_180453,-0.907,0.203
U_221103_175750,-0.7215,0.1045
U_221103_175804,-0.488,0.152
V_221103_181138,-0.362,0.1515
V_221103_181152,-0.0245,0.1275
W_221103_174533,-0.177,0.1585
W_221103_174518,-0.879,0.1815
X_221103_180741,-0.1495,0.1265
X_221103_180727,-0.2975,0.073
Y_221103_174310,-0.7565,0.1565
Y_221103_174327,-0.544,0.123
Z_221103_180623,-0.167,0.049
Z_221103_180609,-0.6835,0.169
