Filename,Lag,Error
A_221103_122427,-0.7035,0.0985
A_221103_122413,-0.4015,0.076
B_221103_122540,-0.889,0.11
B_221103_122557,-0.4005,0.29
C_221103_121920,-0.4395,0.074
C_221103_121904,-0.4675,0.209
D_221103_121607,-0.7485,0.0995
D_221103_121550,-0.822,0.1405
E_221103_121650,-0.3645,0.083
E_221103_121633,-0.918,0.131
F_221103_122247,-0.9605,0.087
F_221103_122303,-0.6855,0.0765
G_221103_121524,-0.735,0.058
G_221103_121509,-0.162,0.068
H_221103_121821,-0.4445,0.041
H_221103_121836,-0.626,0.062
I_221103_121257,-0.126,0.0855
I_221103_121312,-0.6045,0.09
J_221103_121735,-0.495,0.076
J_221103_121718,-0.851,0.0315
K_221103_121000,-0.4605,0.075
K_221103_121015,-0.2885,0.1175
L_221103_121949,-0.466,0.1035
L_221103_122004,-0.7415,0.092
M_221103_121442,-0.8445,0.055
M_221103_121426,-0.209,0.0635
N_221103_121146,-0.3285,0.084
N_221103_121129,-0.607,0.0625
O_221103_122032,-0.9645,0.108
O_221103_122049,-0.053,0.0895
P_221103_122116,-0.701,0.1225
P_221103_122133,-0.035,0.053
Q_221103_122216,-0.3275,0.324
Q_221103_122201,-0.3705,0.1
R_221103_121059,-0.453,0.089
R_221103_121043,-0.5315,0.0625
S_221103_120802,-0.563,0.0485
S_221103_120823,-0.336,0.106
T_221103_120915,-0.315,0.0965
T_221103_120932,-0.7385,0.059
U_221103_120719,-0.1465,0.0715
U_221103_120735,-0.744,0.09
V_221103_121356,-0.913,0.1315
V_221103_121341,-0.629,0.1605
W_221103_121229,-0.6355,0.089
W_221103_121214,-0.548,0.083
X_221103_122638,-0.858,0.17
X_221103_122623,-0.541,0.149
Y_221103_122508,-0.29,0.1725
Y_221103_122454,-0.723,0.0895
Z_221103_122331,-0.9535,0.1385
Z_221103_122347,-0.2355,0.087
