Filename,Lag,Error
A_221124_120813,-0.735,0.276
A_221124_120830,-0.262,0.1405
B_221124_120103,-0.915,0.1695
B_221124_120047,-0.6055,0.121
C_221124_115209,-0.669,0.1535
C_221124_115240,-0.219,0.1825
D_221124_120209,-0.336,0.439
D_221124_120225,-0.877,0.1175
E_221124_115708,-0.414,0.1445
E_221124_115724,-0.9405,0.1515
F_221124_115114,-0.6545,0.11
F_221124_115006,-0.3005,0.1105
G_221124_120519,-0.972,0.104
G_221124_120536,-0.789,0.1185
H_221124_115921,-0.209,0.1075
H_221124_120019,-0.921,0.1305
I_221124_115337,-0.5575,0.0555
I_221124_115310,-0.877,0.493
J_221124_115750,-0.1885,0.087
J_221124_115806,-0.2725,0.116
K_221124_120129,-0.343,0.0605
K_221124_120145,-0.6015,0.0735
L_221124_115538,-0.2015,0.13
L_221124_115553,-0.842,0.0485
M_221124_120748,-0.6385,0.0795
M_221124_120727,-0.017,0.4425
N_221124_115455,-0.5065,0.0965
N_221124_115511,-0.433,0.1125
O_221124_120609,-0.019,0.1865
O_221124_120624,-0.888,0.123
P_221124_120932,-0.2895,0.139
P_221124_120915,-0.293,0.1185
Q_221124_120330,-0.7045,0.139
Q_221124_120252,-0.1795,0.103
R_221124_121121,-0.506,0.148
R_221124_121136,-0.298,0.2865
S_221124_121056,-0.472,0.1735
S_221124_121040,-0.381,0.2435
T_221124_115855,-0.9415,0.1335
T_221124_115839,-0.2365,0.307
U_221124_115624,-0.884,0.1345
U_221124_115641,-0.581,0.1275
V_221124_115407,-0.643,0.19
V_221124_115424,-0.784,0.087
W_221124_121200,-0.2495,0.221
W_221124_121217,-0.9825,0.2195
X_221124_121014,-0.1595,0.1735
X_221124_120957,-0.31,0.167
Y_221124_120357,-0.478,0.181
Y_221124_120412,-0.36,0.2965
Z_221124_120437,-0.7365,0.233
Z_221124_120453,-0.44,0.1965
