Filename,Lag,Error
A_221208_131204,-0.9365,0.0665
A_221208_131219,-0.1875,0.076
B_221208_132149,-0.134,0.0605
B_221208_132111,-0.357,0.0695
C_221208_131814,-0.9325,0.287
C_221208_131747,-0.334,0.2105
D_221208_131916,-0.398,0.0755
D_221208_131930,-0.7495,0.0725
E_221208_131954,-0.9115,0.284
E_221208_132008,-0.8555,0.0775
F_221208_132343,-0.3125,0.3185
F_221208_132330,-0.154,0.0635
G_221208_132047,-0.4695,0.0725
G_221208_132032,-0.865,0.0485
H_221208_132917,-0.5435,0.0785
H_221208_132903,-0.4455,0.067
I_221208_132938,-0.246,0.0735
I_221208_132952,-0.214,0.1025
J_221208_132444,-0.818,0.052
J_221208_132458,-0.508,0.057
K_221208_132521,-0.4015,0.0925
K_221208_132535,-0.174,0.064
L_221208_131241,-0.302,0.193
L_221208_131326,-0.1445,0.116
M_221208_132802,-0.3445,0.0575
M_221208_132747,-0.7685,0.061
N_221208_132825,-0.625,0.0345
N_221208_132839,-0.328,0.3725
O_221208_132252,-0.354,0.1135
O_221208_132306,-0.6815,0.0465
P_221208_131352,-0.3695,0.0435
P_221208_131449,-0.9355,0.0455
Q_221208_132227,-1.0,0.4495
Q_221208_132214,-0.106,0.0775
R_221208_131553,-0.683,0.1025
R_221208_131607,-0.6105,0.0905
S_221208_132420,-0.4815,0.0895
S_221208_132406,-0.7455,0.092
T_221208_131629,-0.85,0.034
T_221208_131643,-0.8025,0.1005
U_221208_131530,-0.5845,0.09
U_221208_131516,-0.3885,0.0475
V_221208_131708,-0.346,0.06
V_221208_131722,-0.7255,0.085
W_221208_132557,-0.7595,0.1245
W_221208_132611,-0.4765,0.1175
X_221208_131853,-0.9455,0.105
X_221208_131838,-0.9,0.202
Y_221208_132648,-0.314,0.0525
Y_221208_132634,-0.6165,0.071
Z_221208_132710,-0.5325,0.084
Z_221208_132724,-0.5275,0.1065
