Filename,Lag,Error
A_221117_182415,-0.3295,0.784
A_221117_182429,0.5685,0.944
B_221117_182454,-0.211,0.126
B_221117_182507,-0.2655,0.251
C_221117_182759,-0.5205,0.2005
C_221117_182746,-0.796,0.6035
D_221117_181516,-0.1595,0.2685
D_221117_181502,-0.702,0.125
E_221117_181815,-0.161,0.169
E_221117_181827,-0.6925,0.173
F_221117_181750,-0.8775,0.188
F_221117_181737,-0.305,0.14
G_221117_182616,-0.6755,0.1115
G_221117_182629,-0.5815,0.119
H_221117_181427,-0.1835,0.2215
H_221117_181440,-0.83,0.2635
I_221117_183149,-0.6525,0.1305
I_221117_183202,-0.5535,0.18
J_221117_182914,-0.8,0.1895
J_221117_182901,-0.635,0.297
K_221117_182725,-0.7755,0.1695
K_221117_182653,-0.0545,0.1975
L_221117_182134,-0.8565,0.1285
L_221117_182121,-0.28,0.1185
M_221117_182836,-0.9115,0.092
M_221117_182823,-0.9445,0.2425
N_221117_183003,-0.6215,0.28
N_221117_182950,-0.648,0.1495
O_221117_181852,-0.94,0.154
O_221117_181906,-0.646,0.1775
P_221117_182251,-0.838,0.123
P_221117_182237,-0.9405,0.1455
Q_221117_181346,-0.393,0.533
Q_221117_181402,-0.8205,0.27
R_221117_182016,-0.906,0.088
R_221117_182002,-0.8195,0.153
S_221117_182056,-0.1815,0.1635
S_221117_182042,-0.0045,0.278
T_221117_181638,-0.724,0.163
T_221117_181611,-0.862,0.0815
U_221117_181550,-0.511,0.098
U_221117_181537,-0.152,0.115
V_221117_181714,-0.544,0.2015
V_221117_181700,-0.7,0.7015
W_221117_183039,-0.5075,0.1545
W_221117_183026,-0.173,0.16
X_221117_181308,-0.699,0.3095
X_221117_181235,-0.7995,0.4125
Y_221117_182158,-0.2575,0.0935
Y_221117_182213,-0.4975,0.081
Z_221117_182330,-0.3705,0.479
Z_221117_182316,-0.5755,0.279
