Filename,Lag,Error
A_221117_151850,0.2935,1.0645
A_221117_151907,-0.671,1.4315
B_221117_152204,-0.669,0.2825
B_221117_152144,-0.5005,0.5575
C_221117_152633,-0.1685,0.4995
C_221117_152556,-0.952,0.155
D_221117_152259,-0.7225,0.257
D_221117_152316,-0.33,0.4295
E_221117_151942,-0.5785,0.741
E_221117_151959,-0.5885,0.76
F_221117_151713,-0.201,1.0945
F_221117_151728,-0.8705,1.0995
G_221117_152752,-0.469,1.11
G_221117_152807,0.3625,1.099
H_221117_150923,-0.172,0.2075
H_221117_150903,-0.169,0.3075
I_221117_153104,0.3965,0.795
I_221117_153043,-0.313,1.138
J_221117_151432,-0.204,0.289
J_221117_151448,-0.851,0.2555
K_221117_151538,-0.7955,0.6015
K_221117_151555,-0.379,0.866
L_221117_152421,-0.322,0.094
L_221117_152438,-0.3845,0.2155
M_221117_152937,-0.438,1.2785
M_221117_152920,-0.814,0.7905
N_221117_152839,0.018,1.1535
N_221117_152854,-0.5735,0.9625
O_221117_151301,-0.44,0.175
O_221117_151318,-0.058,0.269
P_221117_151038,-0.7755,1.2425
P_221117_151058,-0.939,0.2565
Q_221117_150806,-0.3115,0.8765
Q_221117_150746,0.6875,0.617
R_221117_152720,0.4355,0.491
R_221117_152702,-0.697,1.0535
S_221117_151143,-0.63,0.326
S_221117_151126,-0.622,0.107
T_221117_151347,-0.3285,0.1385
T_221117_151403,-0.7045,0.3105
U_221117_152052,-0.512,0.1665
U_221117_152110,-0.1045,0.172
V_221117_151011,-0.531,0.087
V_221117_150954,-0.941,0.152
W_221117_151816,-0.695,0.2265
W_221117_151759,-0.4015,0.2295
Y_221117_151645,-0.406,0.123
Z_221117_152512,-0.911,0.6945
Z_221117_152528,-0.02,0.8685
