Filename,Lag,Error
A_221103_134250,-0.084,0.9955
A_221103_134305,0.137,0.865
B_221103_133115,-0.7465,0.0915
B_221103_133131,-0.67,0.0815
C_221103_132810,0.4405,0.424
C_221103_132831,-0.0255,0.378
D_221103_134034,-0.939,0.393
D_221103_134021,-0.6125,0.157
E_221103_133517,-0.632,0.088
E_221103_133532,0.5885,0.517
F_221103_132716,-0.346,0.5695
F_221103_132731,-0.926,0.1145
G_221103_132935,-0.7805,0.0735
G_221103_132950,-0.1705,0.4075
H_221103_132635,-0.2255,0.1615
H_221103_132651,-0.1365,0.0595
I_221103_132912,-0.673,0.074
I_221103_132857,-0.22,0.1075
J_221103_133943,-0.8325,0.125
J_221103_133957,-0.725,0.085
K_221103_133415,-0.333,0.0635
K_221103_133400,-0.899,0.077
L_221103_132503,-0.3235,0.095
L_221103_132520,-0.349,0.23
M_221103_133746,-0.5965,0.178
M_221103_133800,-0.2715,0.554
N_221103_134344,-0.797,0.287
N_221103_134330,-0.396,0.1255
O_221103_133453,-0.556,0.0995
O_221103_133438,-0.6145,0.085
P_221103_134127,0.734,0.6365
P_221103_134144,-0.7245,0.5475
Q_221103_133335,-0.443,0.0775
Q_221103_133319,-0.321,0.284
R_221103_133251,-0.7265,0.383
R_221103_133236,-0.5905,0.062
S_221103_133837,-0.7205,0.097
S_221103_133823,-0.466,0.157
T_221103_133917,-0.6535,0.0805
T_221103_133903,-0.8545,0.0715
U_221103_133031,-0.8115,0.12
U_221103_133016,-0.302,0.29
V_221103_133714,-0.0015,0.1855
V_221103_133638,-0.2875,0.182
W_221103_133612,-0.142,0.1175
W_221103_133557,-0.2635,0.133
X_221103_132605,-0.8505,0.1675
X_221103_132549,-0.486,0.111
Y_221103_134228,-0.8925,0.1715
Y_221103_134209,-0.9155,0.1355
Z_221103_133154,-0.8025,0.547
Z_221103_133209,-0.4245,0.564
