Filename,Lag,Error
A_220916_101441,-0.5165,0.095
A_220916_101457,-0.4045,0.0715
B_220916_101314,-0.1975,0.096
B_220916_101254,-0.529,0.063
C_220916_095556,-0.952,0.193
C_220916_095614,-0.4115,0.073
D_220916_100112,-0.137,0.0435
D_220916_100055,-0.9745,0.065
E_220916_095942,-0.304,0.1395
E_220916_095924,-0.2385,0.091
F_220916_095839,-0.633,0.0325
F_220916_095858,-0.361,0.0375
G_220916_095300,-0.2645,0.126
G_220916_095316,-0.1365,0.4015
H_220916_100028,-0.9245,0.143
H_220916_100011,-0.706,0.1035
I_220916_100655,-0.9705,0.073
I_220916_100712,-0.7405,0.0315
J_220916_100906,-0.4495,0.115
J_220916_100850,-0.2295,0.0575
K_220916_101144,-0.212,0.0495
K_220916_101127,-0.911,0.067
L_220916_095404,-0.498,0.05
L_220916_095346,-0.849,0.095
M_220916_095727,-0.589,0.054
M_220916_095702,-0.7515,0.417
N_220916_095446,-0.897,0.064
N_220916_095508,-0.745,0.107
O_220916_100803,-0.9755,0.072
O_220916_100820,-0.2065,0.059
P_220916_100550,-0.3735,0.1265
P_220916_100609,-0.8345,0.129
Q_220916_101013,-0.6155,0.076
Q_220916_100954,-0.3465,0.1155
R_220916_100246,-0.2495,0.119
R_220916_100229,-0.402,0.103
S_220916_100453,-0.606,0.0795
S_220916_100510,-0.189,0.059
T_220916_101414,-0.3725,0.1005
T_220916_101344,-0.369,0.076
U_220916_101544,-0.699,0.0555
U_220916_101528,-0.4645,0.0845
V_220916_100141,-0.644,0.0455
V_220916_100159,-0.735,0.048
W_220916_100340,-0.4125,0.066
W_220916_100314,-0.919,0.084
X_220916_095756,-0.66,0.074
X_220916_095813,-0.458,0.0745
Y_220916_101041,-0.8905,0.178
Y_220916_101057,-0.6255,0.0705
Z_220916_100407,-0.2095,0.4155
Z_220916_100424,-0.3305,0.102
