Filename,Lag,Error
A_221019_143035,0.32,0.431
A_221019_143052,-0.869,0.3815
B_221019_143419,-0.8615,0.0625
B_221019_143436,-0.895,0.08
C_221019_142659,-0.9285,0.121
C_221019_142753,-0.646,0.153
D_221019_143345,-0.9005,0.133
D_221019_143328,-0.472,0.113
E_221019_145250,-0.391,0.097
E_221019_145308,-0.6305,0.1575
F_221019_143243,-0.4625,0.1635
F_221019_143259,-0.8955,0.4435
G_221019_143158,-0.3145,0.1375
G_221019_143215,-0.483,0.114
H_221019_145221,-0.713,0.0735
H_221019_145205,-0.2985,0.0905
I_221019_144833,-0.9525,0.131
I_221019_144851,-0.715,0.16
J_221019_145342,-0.186,0.1085
J_221019_145358,-0.913,0.328
K_221019_143659,-0.99,0.184
K_221019_143642,-0.4485,0.0765
L_221019_144406,-0.8465,0.239
L_221019_144349,-0.3175,0.1925
M_221019_145429,-0.658,0.0935
M_221019_145446,-0.34,0.324
N_221019_145002,-0.6705,0.0975
N_221019_144944,-0.1595,0.1375
O_221019_143852,-0.184,0.152
O_221019_143911,-0.14,0.177
P_221019_143733,-0.9235,0.278
P_221019_143752,-0.3515,0.597
Q_221019_145537,-0.675,0.25
Q_221019_145555,-0.283,0.2065
R_221019_142857,-0.6925,0.1475
R_221019_142941,-0.5235,0.2745
S_221019_144205,-0.097,0.202
S_221019_144146,-0.0635,0.323
T_221019_144633,-0.9425,0.1205
T_221019_144611,-0.241,0.2525
U_221019_144239,-0.5915,0.166
U_221019_144313,-0.673,0.0915
V_221019_144457,-0.488,0.095
V_221019_144440,-0.4065,0.0745
W_221019_145053,-0.148,0.3145
W_221019_145126,-0.926,0.2485
X_221019_144735,-0.507,0.185
X_221019_144802,-0.7265,0.2065
Y_221019_143614,-0.239,0.0505
Y_221019_143536,-0.3095,0.122
Z_221019_144039,-0.172,0.2755
Z_221019_143948,0.837,0.2275
