Filename,Lag,Error
A_221124_151410,-0.152,0.1765
A_221124_151447,-0.5075,0.305
B_221124_152604,-0.349,0.244
B_221124_152548,-0.9425,0.269
C_221124_150832,-0.303,0.7075
C_221124_150847,-1.0,0.58
D_221124_151718,-0.35,0.139
D_221124_151733,-0.2755,0.0895
E_221124_151641,-0.3065,0.077
E_221124_151655,-0.2745,0.4925
F_221124_150316,-0.432,0.137
F_221124_150338,-0.281,0.2665
G_221124_150523,-0.157,0.1745
G_221124_150507,-0.8055,0.1645
H_221124_151837,-0.868,0.207
H_221124_151852,-0.369,0.277
I_221124_152325,-0.4435,0.45
I_221124_152339,-0.8435,0.091
J_221124_152404,-0.517,0.2445
J_221124_152418,-0.212,0.3445
K_221124_151106,-0.3595,0.116
K_221124_151037,-0.265,0.2595
L_221124_150601,-0.881,0.0845
L_221124_150546,-0.618,0.1285
M_221124_151553,-0.302,0.757
M_221124_151615,-1.0,0.4375
N_221124_152114,-0.441,0.391
N_221124_152100,-0.2145,0.1525
O_221124_152216,-0.5015,0.0615
O_221124_153918,-0.384,0.072
P_221124_152726,-0.2365,0.42
P_221124_152744,-0.4985,0.3295
Q_221124_152242,-0.164,0.3425
Q_221124_152257,-0.2725,0.524
R_221124_152015,-0.211,0.286
R_221124_152031,-0.5395,0.1305
S_221124_151757,-0.2065,0.3655
S_221124_151813,-0.4095,0.1395
T_221124_152458,-0.683,0.177
T_221124_152523,-0.72,0.119
U_221124_151949,-0.3615,0.12
U_221124_151934,-0.224,0.242
V_221124_150626,-0.2255,0.5505
V_221124_150652,-0.8815,0.1405
W_221124_152810,-0.699,0.0805
W_221124_152824,-0.717,0.0885
X_221124_150423,-0.16,0.1465
X_221124_150406,-0.762,0.132
Y_221124_152701,-0.2485,0.551
Y_221124_153953,-0.998,0.3225
Z_221124_151512,0.3745,0.4405
Z_221124_151527,-0.373,0.234
