Filename,Lag,Error
A_221117_114906,-0.3185,0.0835
A_221117_114934,-0.3185,0.4115
B_221117_115034,-0.4415,0.1195
B_221117_115019,-0.3115,0.123
C_221117_120132,-0.355,0.095
C_221117_120118,-0.423,0.1185
D_221117_115903,-0.4185,0.1565
D_221117_115849,-0.3595,0.099
E_221117_114843,-0.7095,0.098
E_221117_114827,-0.291,0.317
F_221117_115939,-0.8415,0.07
F_221117_115926,-0.1935,0.203
G_221117_120042,-0.368,0.0635
G_221117_120055,-0.625,0.186
H_221117_115423,-0.284,0.1
H_221117_115438,-0.6515,0.1085
I_221117_115230,-0.6455,0.0945
I_221117_115216,-0.401,0.1185
J_221117_115541,-0.3015,0.135
J_221117_115555,-0.6635,0.111
K_221117_114715,-0.51,0.087
K_221117_114659,-0.3065,0.459
L_221117_115748,-0.875,0.084
L_221117_115735,-0.333,0.0885
M_221117_120003,-0.597,0.1015
M_221117_120018,-0.597,0.079
N_221117_115113,-0.7105,0.083
N_221117_115059,-0.1725,0.134
O_221117_115619,-0.837,0.074
O_221117_115633,-0.1345,0.3055
P_221117_120159,-0.669,0.11
P_221117_120212,-0.238,0.304
Q_221117_114739,-0.684,0.0545
Q_221117_114753,-0.6175,0.0825
R_221117_115812,-0.728,0.1355
R_221117_115826,-0.2615,0.141
S_221117_120236,-0.0095,0.122
S_221117_120249,-0.438,0.1045
T_221117_120404,-0.2965,0.085
T_221117_120350,-0.2025,0.723
U_221117_115711,-0.8195,0.1165
U_221117_115658,-0.2635,0.4035
V_221117_115310,-0.8945,0.1815
V_221117_115255,-0.9415,0.1195
W_221117_120312,-0.6855,0.1315
W_221117_120327,-0.747,0.0955
X_221117_115501,-0.896,0.1035
X_221117_115516,-0.313,0.0525
Y_221117_115152,-0.253,0.2725
Y_221117_115137,-0.19,0.1315
Z_221117_115359,-0.837,0.1335
Z_221117_115335,-0.361,0.2235
