Filename,Lag,Error
A_221028_134239,-0.7555,0.08
A_221028_134220,-0.646,0.1015
B_221028_135107,-0.195,0.285
B_221028_135125,-0.578,0.1225
C_221028_134722,-0.58,0.1325
C_221028_134738,-0.524,0.079
D_221028_140608,-0.411,0.0715
D_221028_140552,-0.678,0.074
E_221028_140038,-0.8665,0.0685
E_221028_140054,-0.9215,0.0845
F_221028_135512,-0.9375,0.0725
F_221028_135547,-0.525,0.1245
G_221028_140708,-0.3655,0.1
G_221028_140636,-0.7485,0.0975
H_221028_134627,-0.4175,0.065
H_221028_134610,-0.9035,0.065
I_221028_135931,-0.703,0.0595
I_221028_135947,-0.645,0.0605
J_221028_140412,-0.374,0.058
J_221028_140427,-0.352,0.0295
K_221028_140510,-0.25,0.0725
K_221028_140454,-0.94,0.047
L_221028_135801,-0.344,0.087
L_221028_135818,-0.261,0.0635
M_221028_135314,-0.8355,0.088
M_221028_135241,-0.463,0.0895
N_221028_134328,-0.36,0.0685
N_221028_134343,-0.2505,0.192
O_221028_135342,-0.684,0.0755
O_221028_135359,-0.711,0.0845
P_221028_135902,-0.307,0.096
P_221028_135845,-0.73,0.08
Q_221028_134431,-0.5235,0.0705
Q_221028_134413,-0.3055,0.093
R_221028_140345,-0.263,0.0635
R_221028_140329,-0.411,0.0455
S_221028_140125,-0.2725,0.0735
S_221028_140216,-0.854,0.0955
T_221028_140734,-0.8975,0.1275
T_221028_140805,-0.9475,0.0755
U_221028_135212,-0.5745,0.066
U_221028_135155,-0.6585,0.064
V_221028_134527,-0.158,0.075
V_221028_134544,-0.306,0.121
W_221028_134950,-0.5605,0.1075
W_221028_134932,-0.8945,0.0845
X_221028_135038,-0.813,0.0385
X_221028_135021,-0.322,0.096
Y_221028_135445,-0.736,0.061
Y_221028_135428,-0.924,0.073
Z_221028_134833,-0.82,0.3745
Z_221028_134906,-0.275,0.351
